Depth,Name,Statistic,#Cells
> > > ,"Specimen_001_1-240_1_005.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",22.8,163
> > > ,"Specimen_001_1-240_1_005.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0,0
,Specimen_001_1-240_2_006.fcs,,46933
> ,Specimen_001_1-240_2_006.fcs/live,59.9,28115
> > ,Specimen_001_1-240_2_006.fcs/live/BFP+,1.2,337
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,9252,
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,387,
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,15101,
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,464,
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,10588,
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,388,
> > > ,"Specimen_001_1-240_2_006.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.59,2
> > > ,"Specimen_001_1-240_2_006.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",45.4,153
> > > ,"Specimen_001_1-240_2_006.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",53.7,181
> > > ,"Specimen_001_1-240_2_006.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.3,1
,Specimen_001_1-240_3_007.fcs,,241044
> ,Specimen_001_1-240_3_007.fcs/live,60.8,146624
> > ,Specimen_001_1-240_3_007.fcs/live/BFP+,1.26,1843
> > > ,Specimen_001_1-240_3_007.fcs/live/BFP+,8024,
> > > ,Specimen_001_1-240_3_007.fcs/live/BFP+,517,
> > > ,Specimen_001_1-240_3_007.fcs/live/BFP+,12213,
> > > ,Specimen_001_1-240_3_007.fcs/live/BFP+,612,
> > > ,Specimen_001_1-240_3_007.fcs/live/BFP+,9374,
> > > ,Specimen_001_1-240_3_007.fcs/live/BFP+,488,
> > > ,"Specimen_001_1-240_3_007.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.33,6
> > > ,"Specimen_001_1-240_3_007.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",65,1198
> > > ,"Specimen_001_1-240_3_007.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",34.5,635
> > > ,"Specimen_001_1-240_3_007.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.22,4
,Specimen_001_201FL_1_020.fcs,,161164
> ,Specimen_001_201FL_1_020.fcs/live,63.9,102920
> > ,Specimen_001_201FL_1_020.fcs/live/BFP+,3.42,3520
> > > ,Specimen_001_201FL_1_020.fcs/live/BFP+,13490,
> > > ,Specimen_001_201FL_1_020.fcs/live/BFP+,459,
> > > ,Specimen_001_201FL_1_020.fcs/live/BFP+,19367,
> > > ,Specimen_001_201FL_1_020.fcs/live/BFP+,548,
> > > ,Specimen_001_201FL_1_020.fcs/live/BFP+,15951,
> > > ,Specimen_001_201FL_1_020.fcs/live/BFP+,431,
> > > ,"Specimen_001_201FL_1_020.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.057,2
> > > ,"Specimen_001_201FL_1_020.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",54.3,1910
> > > ,"Specimen_001_201FL_1_020.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",45.7,1607
> > > ,"Specimen_001_201FL_1_020.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.028,1
,Specimen_001_201FL_2_021.fcs,,235245
> ,Specimen_001_201FL_2_021.fcs/live,63.4,149103
> > ,Specimen_001_201FL_2_021.fcs/live/BFP+,1.8,2680
> > > ,Specimen_001_201FL_2_021.fcs/live/BFP+,8781,
> > > ,Specimen_001_201FL_2_021.fcs/live/BFP+,522,
> > > ,Specimen_001_201FL_2_021.fcs/live/BFP+,12946,
> > > ,Specimen_001_201FL_2_021.fcs/live/BFP+,624,
> > > ,Specimen_001_201FL_2_021.fcs/live/BFP+,10100,
> > > ,Specimen_001_201FL_2_021.fcs/live/BFP+,494,
> > > ,"Specimen_001_201FL_2_021.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.19,5
> > > ,"Specimen_001_201FL_2_021.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",65.3,1749
> > > ,"Specimen_001_201FL_2_021.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",34.4,921
> > > ,"Specimen_001_201FL_2_021.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.19,5
,Specimen_001_201FL_3_022.fcs,,256194
> ,Specimen_001_201FL_3_022.fcs/live,63,161463
> > ,Specimen_001_201FL_3_022.fcs/live/BFP+,5.52,8907
> > > ,Specimen_001_201FL_3_022.fcs/live/BFP+,7940,
> > > ,Specimen_001_201FL_3_022.fcs/live/BFP+,459,
> > > ,Specimen_001_201FL_3_022.fcs/live/BFP+,10906,
> > > ,Specimen_001_201FL_3_022.fcs/live/BFP+,543,
> > > ,Specimen_001_201FL_3_022.fcs/live/BFP+,8766,
> > > ,Specimen_001_201FL_3_022.fcs/live/BFP+,431,
> > > ,"Specimen_001_201FL_3_022.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.056,5
> > > ,"Specimen_001_201FL_3_022.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",54.8,4881
> > > ,"Specimen_001_201FL_3_022.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",45,4011
> > > ,"Specimen_001_201FL_3_022.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.11,10
,Specimen_001_204FL_1_023.fcs,,177762
> ,Specimen_001_204FL_1_023.fcs/live,64.1,114019
> > ,Specimen_001_204FL_1_023.fcs/live/BFP+,7.23,8241
> > > ,Specimen_001_204FL_1_023.fcs/live/BFP+,8589,
> > > ,Specimen_001_204FL_1_023.fcs/live/BFP+,284,
> > > ,Specimen_001_204FL_1_023.fcs/live/BFP+,11995,
> > > ,Specimen_001_204FL_1_023.fcs/live/BFP+,323,
> > > ,Specimen_001_204FL_1_023.fcs/live/BFP+,9374,
> > > ,Specimen_001_204FL_1_023.fcs/live/BFP+,270,
> > > ,"Specimen_001_204FL_1_023.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.024,2
> > > ,"Specimen_001_204FL_1_023.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",18.2,1501
